"LatCase","LongCase","LatAir","LongAir","distance"
-14.271,-170.132,19.117561,-155.778136,4036106.97276915
0,0,18.383983,-65.618888,7451438.73683839
13.4443,144.7937,21.949599,-159.36624,5966576.06729235
15.0979,145.6739,21.949599,-159.36624,5822139.4900251
17.982429,-66.919643,18.009558,-66.627249,31103.7404670621
17.994525,-66.388913,17.955378,-66.162122,24406.2293252203
17.998457,-66.056546,17.955378,-66.162122,12164.0947104866
18.007516,-66.133908,17.955378,-66.162122,6527.66913786139
18.010387,-66.256592,17.955378,-66.162122,11728.1911527094
18.011661,-67.040585,18.009558,-66.627249,43758.3317314678
18.017889,-65.922235,18.198712,-66.052237,24379.9286809428
18.03174,-66.012242,17.955378,-66.162122,18001.9573784686
18.039942,-66.79186,18.009558,-66.627249,17750.3352306468
18.040993,-67.154391,18.009558,-66.627249,55910.7081511834
18.050764,-66.494581,18.009558,-66.627249,14773.465628352
18.059498,-66.613748,18.009558,-66.627249,5740.0393286215
18.059645,-66.721572,18.009558,-66.627249,11435.4990635768
18.070399,-65.896289,18.198712,-66.052237,21822.0220397896
18.080374,-66.858814,18.009558,-66.627249,25746.3474930617
18.08282,-66.943758,18.009558,-66.627249,34478.7868525544
18.097597,-66.36014,17.955378,-66.162122,26268.1812095559
18.102851,-66.14914,18.198712,-66.052237,14796.8096565228
18.111484,-67.038581,18.009558,-66.627249,44987.5402082788
18.123276,-65.440971,18.383983,-65.618888,34583.8209407573
18.127951,-66.473115,18.009558,-66.627249,20970.883555772
18.131361,-66.264131,17.955378,-66.162122,22368.719991167
18.134532,-67.113972,18.009558,-66.627249,53354.478709567
18.145211,-65.810174,18.198712,-66.052237,26285.9639863123
18.147987,-65.976392,18.198712,-66.052237,9809.96039893105
18.171795,-66.942126,18.009558,-66.627249,37899.0294718001
18.173559,-66.161179,18.198712,-66.052237,11856.9318964729
18.175457,-67.336525,18.009558,-66.627249,77291.0325035835
18.180117,-66.754367,18.009558,-66.627249,23268.3142350732
18.187527,-65.869468,18.198712,-66.052237,19368.7199400718
18.201592,-66.30963,18.198712,-66.052237,27221.27603571
18.211446,-66.58878,18.009558,-66.627249,22839.664432666
18.211615,-66.050779,18.198712,-66.052237,1444.6065658994
18.215046,-66.433604,18.009558,-66.627249,30708.7598948196
18.223793,-65.909109,18.198712,-66.052237,15390.2387912279
18.224687,-66.221622,18.198712,-66.052237,18143.2246565813
18.230637,-65.753897,18.383983,-65.618888,22248.296805548
18.23679,-66.98362,18.009558,-66.627249,45402.2564327804
18.251619,-66.126806,18.198712,-66.052237,9841.41626592026
18.251818,-65.666416,18.383983,-65.618888,15546.2628881828
18.266461,-65.979705,18.198712,-66.052237,10755.919431795
18.269035,-66.867236,18.009558,-66.627249,38455.9552118284
18.271214,-66.702984,18.009558,-66.627249,30209.1714030856
18.287985,-67.120611,18.009558,-66.627249,60698.3165920775
18.288019,-66.252703,18.420089,-66.150615,18234.3415703023
18.28885,-66.516475,18.009558,-66.627249,33225.5127011119
