"correlationLowerBound","correlationUpperBound","correlation","correlationPear","distance","upToAirQuality","valueToUse","samples","latitudeStart"
0.105388125370609,0.239377503353193,0.167186034905925,0.0601370236616932,6000,60,"aqi",850,40.22787247
0.104734125113503,0.238251203843152,0.166154389703974,0.0675735881048245,6000,58,"aqi",842,40.22787247
0.0990601392867587,0.232857256619059,0.164459043975374,0.0573687602258657,6000,16,"pm2_5",849,40.22787247
0.0964545497789001,0.223852366626829,0.157318379577187,0.0448609617855239,6000,28,"pm2_5",890,40.22787247
0.0954327319974749,0.222253573931166,0.158706111643848,0.054552868396276,6000,50,"pm2_5",893,40.22787247
0.0942479305182932,0.223691688287305,0.156866493530462,0.050777861113666,6000,24,"pm2_5",887,40.22787247
0.0909803221439582,0.224300510359433,0.159089311696544,0.060171885870637,6000,30,"pm2_5",892,40.22787247
0.0906290800438038,0.198782764157299,0.143027398347903,0.0592057000916109,8000,50,"pm2_5",1232,40.22787247
0.0901955638706806,0.221480440547638,0.158157906823328,0.0546223922358364,6000,22,"pm2_5",884,40.22787247
0.0891514471214426,0.199669650021024,0.142990936195311,0.0634368834629306,8000,30,"pm2_5",1231,40.22787247
0.0876800512814995,0.214499688863693,0.152252458537363,0.0499941123945052,6000,20,"pm2_5",877,40.22787247
0.0872582476667699,0.214416975509796,0.156491576169063,0.0487790574528123,6000,26,"pm2_5",888,40.22787247
0.0865607647588419,0.218074034236009,0.157236949740875,0.047795182227916,6000,18,"pm2_5",868,40.22787247
0.0865173953593245,0.224730088243518,0.154939031459613,0.0754839785600817,6000,56,"aqi",831,40.22787247
0.0861631914074211,0.195775515328453,0.141199698876597,0.0495660451409442,8000,28,"pm2_5",1229,40.22787247
0.0839979925161951,0.195067773314142,0.140023266604157,0.0536738830955687,8000,24,"pm2_5",1226,40.22787247
0.0831941242613453,0.197491022970482,0.140995323352399,0.0584411234133785,8000,22,"pm2_5",1221,40.22787247
0.0831857409744926,0.195721492498741,0.140068874947584,0.0522871671286346,8000,26,"pm2_5",1227,40.22787247
0.0789862653518689,0.191803305050078,0.135658215783339,0.0564676660106426,8000,60,"aqi",1183,40.22787247
0.0783274334353798,0.189753994628648,0.133281680401296,0.0537443960968018,8000,20,"pm2_5",1213,40.22787247
0.0778485595868399,0.2168764438601,0.143571528714314,0.0836336486334371,6000,54,"aqi",812,40.22787247
0.0755962106749725,0.218740336408463,0.151783912224051,0.0694750015306359,6000,14,"pm2_5",827,40.22787247
0.0749643250779631,0.193218691160982,0.133581012088251,0.0558137604162528,8000,16,"pm2_5",1182,40.22787247
0.0712168390066564,0.184329819384689,0.134134083279456,0.051060000414705,8000,18,"pm2_5",1202,40.22787247
0.0708845724554948,0.206993015311315,0.138816619678135,0.0826714087548673,6000,52,"aqi",792,40.22787247
0.0704859622857658,0.188645354868055,0.12925325245583,0.0629001269286288,8000,58,"aqi",1171,40.22787247
0.0647467683950483,0.145139817956987,0.104297464777106,0.0301063045159224,10000,50,"pm2_5",2278,38.02080697
0.0634449947165321,0.145780330643569,0.104230379527134,0.0320512957992113,10000,30,"pm2_5",2277,38.02080697
0.0625046500700015,0.143199249827262,0.102426449763416,0.0252129167499733,10000,26,"pm2_5",2272,38.02080697
0.0611612770863247,0.142663542980359,0.103089245980291,0.0238215407491872,10000,28,"pm2_5",2274,38.02080697
0.0605694508828731,0.12483467844073,0.093504670377113,0.0202345767554131,12000,28,"pm2_5",3299,37.7583355
0.0601588678469797,0.128105060586033,0.0924167501673499,0.0240948900489863,12000,24,"pm2_5",3291,37.7583355
0.0598150707586047,0.127343478630119,0.0936049149740815,0.02185215937897,12000,26,"pm2_5",3296,37.7583355
0.0597744108627564,0.141316645872271,0.100939877277908,0.0293300796607693,10000,22,"pm2_5",2264,38.02080697
0.0597297768425957,0.126491470435903,0.0942940165751875,0.0256467648131709,12000,30,"pm2_5",3302,37.7583355
0.0593640119785036,0.127227675791357,0.0943191479566509,0.0242733880671763,12000,50,"pm2_5",3303,37.7583355
0.0585031295469034,0.126832795499813,0.0931933834484687,0.0265073753725219,12000,22,"pm2_5",3285,37.7583355
0.0579339017303166,0.125713969355223,0.092234426937102,0.0211946677341031,12000,60,"aqi",3206,37.7583355
0.0574867971836982,0.140579614886641,0.100650016633876,0.0268916512225937,10000,24,"pm2_5",2269,38.02080697
0.0574754516976509,0.126162960332403,0.0915779068066525,0.0202994565656123,12000,20,"pm2_5",3264,37.7583355
0.0572438396517641,0.139763651175153,0.0994298276733907,0.0237266174060059,10000,20,"pm2_5",2250,38.02080697
0.0564122824749946,0.125984986565042,0.0909330364620574,0.0208518250369738,12000,18,"pm2_5",3241,37.7583355
0.0555501354583998,0.139582983626592,0.0974107002489309,0.024467311919531,10000,60,"aqi",2207,38.02080697
0.0554083452851862,0.123783242665966,0.0890501151668426,0.0238966650430646,12000,58,"aqi",3178,37.7583355
0.0542326264898796,0.126186650499153,0.0915643822214623,0.0206155894925297,12000,16,"pm2_5",3205,37.7583355
0.0530491915517093,0.166637933522903,0.112400247087661,0.060151539360747,8000,56,"aqi",1154,40.22787247
