"Lat.x","Long_.x","date","cases","deaths","Population","pm2_5","AQI","distanceToAir","new_cases","new_deaths","percentage_death_population","group"
40.22787247,-85.39732772,2022-01-02,18573,335,114135,2.8,12,3258.12013981139,9693,207,0.00181364174004468,40.22787247
40.22787247,-85.39732772,2022-01-05,19076,344,114135,7.1,30,3258.12013981139,503,9,7.8853988697595e-05,40.22787247
40.22787247,-85.39732772,2022-01-08,19458,350,114135,8.4,35,3258.12013981139,382,6,5.25693257983966e-05,40.22787247
40.22787247,-85.39732772,2022-01-11,19956,357,114135,8.3,35,3258.12013981139,498,7,6.13308800981294e-05,40.22787247
40.22787247,-85.39732772,2022-01-20,21603,368,114135,4.7,20,3258.12013981139,666,5,4.38077714986639e-05,40.22787247
40.22787247,-85.39732772,2022-01-23,21877,370,114135,7.5,31,3258.12013981139,274,2,1.75231085994655e-05,40.22787247
40.22787247,-85.39732772,2022-01-26,22646,376,114135,13.5,54,3258.12013981139,769,6,5.25693257983966e-05,40.22787247
40.22787247,-85.39732772,2022-01-29,23062,381,114135,14.6,56,3258.12013981139,416,5,4.38077714986639e-05,40.22787247
40.22787247,-85.39732772,2022-02-16,24338,400,114135,12.9,53,3258.12013981139,1276,19,0.000166469531694923,40.22787247
40.22787247,-85.39732772,2022-02-19,24418,402,114135,5.5,23,3258.12013981139,80,2,1.75231085994655e-05,40.22787247
40.22787247,-85.39732772,2022-02-20,24418,402,114135,4.5,19,3258.12013981139,0,0,0,40.22787247
40.22787247,-85.39732772,2022-02-22,24471,403,114135,4.3,18,3258.12013981139,53,1,8.76155429973277e-06,40.22787247
40.22787247,-85.39732772,2022-02-25,24547,406,114135,8.7,36,3258.12013981139,76,3,2.62846628991983e-05,40.22787247
40.22787247,-85.39732772,2022-02-28,24579,408,114135,10.4,43,3258.12013981139,32,2,1.75231085994655e-05,40.22787247
40.22787247,-85.39732772,2022-03-03,24624,410,114135,6.4,27,3258.12013981139,45,2,1.75231085994655e-05,40.22787247
40.22787247,-85.39732772,2022-03-06,24639,410,114135,6.8,28,3258.12013981139,15,0,0,40.22787247
40.22787247,-85.39732772,2022-03-09,24687,413,114135,10.1,42,3258.12013981139,48,3,2.62846628991983e-05,40.22787247
40.22787247,-85.39732772,2022-03-12,24702,415,114135,4.9,20,3258.12013981139,15,2,1.75231085994655e-05,40.22787247
40.22787247,-85.39732772,2022-03-15,24716,415,114135,8,33,3258.12013981139,14,0,0,40.22787247
40.22787247,-85.39732772,2022-03-18,24743,419,114135,9.6,40,3258.12013981139,27,4,3.50462171989311e-05,40.22787247
40.22787247,-85.39732772,2022-03-21,24752,419,114135,6.8,28,3258.12013981139,9,0,0,40.22787247
