Station;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee
Messkomponente;Feinstaub (PM10);Feinstaub (PM2,5);Stickstoffdioxid;Stickstoffmonoxid;Stickoxide;Ozon;Benzol;Toluol;Kohlenmonoxid;Schwefeldioxid
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;mg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Monatswerte;Monatswerte;Monatswerte;Monatswerte;Monatswerte;Monatswerte;Monatswerte;Monatswerte;Monatswerte;Monatswerte

Nov 2017;26;18;42;36;96;;1.1;2.2;0.4;1
Dez 2017;22;15;40;35;93;;1.1;2.0;0.4;2
Jan 2018;25;19;39;32;87;;1.5;2.1;0.4;1
Feb 2018;37;25;40;28;83;;1.6;1.9;0.4;2
Mär 2018;36;26;42;27;83;;1.7;2.1;0.4;2
Apr 2018;30;19;41;19;70;;1.0;2.4;0.4;2
Mai 2018;26;13;29;10;43;;0.6;1.6;0.3;1
Jun 2018;22;13;33;14;55;;0.6;2.1;0.3;1
Jul 2018;20;10;28;10;44;;0.5;1.8;0.2;1
Aug 2018;23;10;38;17;64;;0.8;2.7;0.3;1
Sep 2018;26;12;41;21;72;;0.9;2.9;0.4;0
Okt 2018;31;18;46;34;99;;1.2;3.1;0.4;1
Nov 2018;35;26;39;42;103;;1.8;2.8;0.5;1
Dez 2018;21;16;34;30;80;;1.3;2.1;0.4;1
Jan 2019;26;19;37;28;79;28;1.4;1.9;0.4;1
Feb 2019;35;24;50;47;122;21;1.8;3.3;0.5;2
Mär 2019;20;13;35;21;66;44;0.9;1.8;0.3;1
Apr 2019;29;17;27;10;42;72;0.8;1.5;0.3;2
Mai 2019;19;11;29;14;50;59;0.7;1.9;0.3;1
Jun 2019;23;11;33;11;51;76;0.7;2.5;0.3;1
Jul 2019;19;10;28;13;48;56;0.5;2.0;0.3;1
Aug 2019;21;11;39;17;66;55;0.9;3.1;0.3;1
Sep 2019;21;11;36;23;71;37;0.9;2.8;0.3;1
Okt 2019;22;14;37;32;86;22;1.1;2.9;0.4;1
Nov 2019;29;21;34;35;88;10;1.6;2.8;0.4;2
Dez 2019;25;16;38;32;87;20;1.3;2.3;0.4;2
Jan 2020;26;17;37;28;80;24;1.1;1.9;0.4;2
Feb 2020;16;10;32;22;65;40;0.8;1.4;0.3;1
Mär 2020;23;15;32;18;59;47;0.9;1.5;0.3;1
Apr 2020;25;12;28;11;44;65;0.7;1.6;0.3;1
Mai 2020;16;9;23;9;37;62;0.5;1.3;0.3;1
Jun 2020;19;10;19;7;29;66;0.5;1.3;0.2;
Jul 2020;18;9;24;12;42;50;0.6;2.0;0.2;
Aug 2020;26;11;26;8;38;63;0.9;2.2;0.3;
Sep 2020;25;12;35;16;59;39;1.1;3.0;0.3;
Okt 2020;20;12;28;19;57;25;1.0;2.3;0.3;
Nov 2020;24;17;30;23;64;18;1.3;2.2;0.4;
Dez 2020;30;23;27;25;65;14;1.5;1.9;0.4;
Jan 2021;21;16;27;15;50;25;1.1;1.4;0.3;
Feb 2021;34;21;36;25;75;30;1.4;2.1;0.4;
Mär 2021;29;18;35;25;73;41;1.1;2.0;0.4;
Apr 2021;20;12;23;9;37;61;0.6;1.1;0.3;
Mai 2021;15;9;22;9;35;59;0.5;1.3;0.3;
Jun 2021;23;12;24;7;35;73;0.5;1.6;0.2;
Jul 2021;21;11;23;9;36;56;0.5;1.8;0.3;
Aug 2021;16;9;23;10;38;50;0.6;1.8;0.3;
Sep 2021;24;15;29;13;49;38;1.0;2.9;0.3;
Okt 2021;24;15;31;17;58;30;1.1;2.7;0.4;
Nov 2021;24;18;30;24;66;21;1.1;2.2;0.4;
Dez 2021;25;20;30;23;65;20;1.3;2.0;0.4;
Jan 2022;20;15;27;13;46;35;1.0;1.2;0.3;
Feb 2022;15;10;24;9;38;48;0.9;1.0;0.3;
Mär 2022;33;21;32;14;54;53;1.2;1.4;0.4;
Apr 2022;18;11;19;6;29;66;0.6;1.1;0.2;
Mai 2022;20;10;22;8;33;67;0.5;1.6;0.2;
Jun 2022;19;10;21;7;31;72;0.4;1.8;0.2;
Jul 2022;17;8;19;6;29;64;0.4;1.6;0.2;
Aug 2022;23;11;19;5;27;66;0.4;1.5;0.2;
Sep 2022;17;10;25;13;45;39;0.7;1.8;0.3;
Okt 2022;24;14;31;24;68;20;1.1;3.1;0.4;
Nov 2022;28;20;29;26;69;13;1.4;2.4;0.4;
